0	1489	1330	1173	1026	1103	1365	1196	1415	1244	1121	1091	1084	1428	1056	1400	1285	1252	1500	1513	1629	1505	1484	1458	1463	1554	1798	1977	2008
1	59	43	43	45	68	83	84	80	68	40	78	113	107	107	81	52	42	31	33	43	54	69	59	31	43	77	108	155
4	77	57	56	42	18	39	27	34	23	40	33	33	26	32	13	31	39	32	51	34	43	20	32	28	25	47	10	70
5	46	31	47	33	29	27	25	21	17	20	18	21	24	16	15	21	23	24	23	15	14	16	16	16	18	19	26	46
6	17	26	32	24	23	25	21	16	17	28	39	45	49	41	26	9	0	0	0	0	0	0	2	8	10	11	14	21
10	47	40	27	29	24	38	42	36	30	14	17	29	34	42	33	22	13	23	40	28	20	13	21	17	31	12	19	27
11	68	72	68	75	67	50	33	47	47	58	50	47	44	47	31	41	46	51	54	44	48	21	10	13	11	12	16	28
13	21	30	19	28	26	27	26	29	25	24	24	17	16	12	12	12	11	13	11	13	14	16	15	17	19	20	26	33
15	27	19	21	18	31	38	42	41	32	27	30	31	34	39	42	30	23	33	31	35	40	32	20	18	20	24	29	35
18	14	8	10	24	17	30	11	12	1	15	8	11	13	23	10	23	8	0	4	9	6	4	3	9	1	7	9	22
19	12	13	8	2	7	13	4	3	6	4	9	29	36	11	13	20	17	9	9	14	8	3	0	4	16	14	0	0
21	32	31	24	39	46	44	48	40	42	33	44	37	28	24	25	32	30	26	26	26	29	30	21	6	24	27	18	16
22	109	64	29	27	33	47	28	68	55	23	40	44	35	43	42	36	31	34	10	43	34	31	21	16	25	17	40	48
24	18	11	2	8	20	21	21	20	16	14	11	15	18	17	8	4	2	7	13	11	14	17	12	9	0	5	21	30
25	33	16	15	11	14	14	38	30	14	26	11	10	15	5	11	16	12	13	10	12	13	10	12	7	5	7	11	14
38	58	39	38	25	37	47	28	31	24	23	28	34	38	26	30	36	28	14	13	16	10	8	5	6	17	25	31	31
39	2	25	27	18	37	40	31	13	23	21	43	28	43	28	39	18	34	26	18	39	32	28	31	21	39	33	46	41
43	14	13	9	32	31	6	15	27	33	14	16	24	52	42	46	47	29	46	41	39	45	22	34	31	30	34	38	48
45	12	9	8	10	7	9	9	4	8	11	12	11	6	2	7	5	2	11	8	5	3	9	11	19	18	12	7	14
47	18	25	12	12	14	20	12	0	1	4	3	11	11	13	7	6	15	13	6	10	9	2	2	11	21	26	18	27
50	38	22	27	35	40	32	35	38	35	35	35	38	57	73	55	26	23	33	39	38	33	16	23	17	21	13	17	8
52	23	19	15	21	20	14	17	16	15	9	10	5	2	1	3	0	2	3	7	6	7	8	7	4	5	9	13	17
57	42	19	19	16	15	26	35	27	20	21	16	17	32	30	29	22	11	35	25	40	52	33	27	20	11	20	36	38
73	5	5	9	20	23	15	6	5	9	4	4	4	2	2	9	13	7	1	4	4	12	14	10	14	16	26	26	31
75	28	3	6	15	3	4	6	5	4	4	1	1	4	0	0	4	7	7	8	5	3	3	5	7	3	9	18	23
76	26	26	14	24	19	18	20	21	19	16	18	24	26	27	18	18	10	9	16	19	17	18	16	14	17	18	13	10
77	34	28	30	26	19	20	28	32	23	17	20	21	29	34	17	15	11	11	28	18	18	20	17	13	10	23	28	22
82	26	18	14	16	26	21	23	18	11	12	4	1	11	13	10	11	10	7	8	17	8	5	5	12	19	24	32	20
84	0	12	3	4	1	5	4	8	13	4	3	7	6	6	10	10	6	6	12	14	11	2	5	7	9	9	15	18
87	20	22	33	20	27	17	18	17	19	21	19	15	13	14	12	12	14	12	8	5	5	10	10	12	13	14	15	14
88	9	13	12	18	16	23	17	10	12	4	17	20	24	29	17	30	15	20	26	18	18	25	13	21	26	15	23	21
89	10	2	3	8	5	4	9	1	9	5	4	4	9	13	5	4	6	5	9	15	14	11	14	15	12	7	15	26
104	28	15	3	12	18	23	34	20	22	15	20	37	34	36	24	27	21	24	22	26	24	20	12	10	9	11	13	11
105	20	18	16	21	27	24	17	11	19	23	17	20	15	13	18	17	18	20	22	29	26	25	24	31	27	32	27	26
107	9	10	13	10	7	6	10	9	7	9	12	9	12	14	6	12	22	18	16	5	9	22	13	10	25	16	9	26
109	31	15	20	0	18	4	20	14	9	5	0	5	8	4	10	9	4	1	9	13	13	5	12	4	8	10	8	12
121	7	5	5	7	8	9	9	11	11	6	7	13	12	9	12	12	11	14	19	22	9	5	6	7	10	9	5	13
122	9	0	1	6	4	2	6	13	2	7	7	3	11	11	14	8	6	11	14	10	12	13	5	8	12	10	4	13
125	12	14	10	6	7	7	9	12	8	6	8	14	5	6	12	13	12	14	13	11	8	14	7	13	13	7	6	12
129	23	27	42	28	31	36	18	32	19	28	19	46	44	22	16	34	22	12	18	21	14	21	11	7	9	38	20	0
136	13	14	12	15	13	11	8	7	6	7	8	6	4	5	6	5	4	6	11	11	9	8	12	9	6	8	14	18
138	7	4	6	7	8	10	10	10	7	3	3	3	2	3	4	3	3	5	6	7	10	14	9	2	4	5	6	10
139	18	10	9	9	5	7	11	7	4	4	9	15	13	10	10	10	9	11	12	10	8	12	7	8	12	10	13	18
150	33	12	17	15	14	11	26	11	29	18	26	27	17	25	20	20	22	18	23	29	22	22	21	6	11	17	4	10
153	18	17	14	15	13	5	12	9	7	10	7	15	8	5	6	4	2	3	10	8	18	13	11	12	8	10	7	19
156	10	7	5	7	8	10	11	15	11	11	9	8	5	6	4	2	3	1	3	1	0	1	2	1	3	2	3	5
158	23	16	1	21	23	24	0	5	10	34	17	12	4	21	23	19	26	24	12	20	17	16	19	21	20	16	12	17
163	5	6	3	4	4	2	4	3	3	2	3	4	2	2	1	2	5	7	1	1	3	3	2	1	2	2	6	9
167	8	7	2	4	5	9	21	25	14	20	18	20	25	25	20	17	17	16	11	19	12	8	9	6	1	7	11	12
170	29	13	0	0	5	10	19	3	3	2	8	4	3	7	2	0	0	2	4	5	2	1	3	1	0	0	1	2
181	4	8	8	6	3	5	6	6	7	6	8	9	8	7	9	8	12	15	11	9	10	12	9	5	9	10	13	10
196	11	13	7	7	5	6	9	9	4	5	3	3	4	7	7	8	5	5	4	5	9	11	5	5	4	5	7	8
216	21	31	16	32	17	24	17	13	22	18	16	13	12	19	20	15	19	21	17	15	12	6	6	8	17	23	15	16
223	8	16	8	1	8	13	8	3	13	5	11	8	15	14	18	21	16	23	13	13	14	7	6	5	4	4	3	7
235	7	12	8	10	9	12	14	15	16	18	17	17	17	16	15	13	10	11	10	13	17	13	9	16	9	12	10	7
237	11	9	6	9	15	8	8	11	8	12	13	15	16	13	14	11	9	7	7	14	18	8	7	12	13	14	12	11
238	10	8	10	7	10	6	10	6	13	8	16	14	16	18	9	9	14	13	22	16	11	14	10	13	17	11	15	8
263	11	9	8	6	6	12	8	8	0	6	6	7	7	1	4	5	10	7	4	5	3	5	2	3	3	4	3	7
274	31	15	7	9	13	5	18	5	22	23	18	8	13	4	21	7	8	3	15	0	10	0	6	7	8	0	14	0
276	5	5	5	6	7	7	8	9	14	7	2	5	7	7	9	5	5	4	8	11	9	8	8	7	5	8	9	12
278	7	4	4	5	7	8	9	3	3	10	7	5	5	3	4	5	4	5	5	5	4	3	2	2	4	5	3	0
290	4	3	1	3	4	10	10	5	2	6	9	9	8	8	15	14	11	14	13	12	18	15	11	13	10	10	10	8
296	14	13	10	6	12	13	10	8	10	10	9	10	13	13	12	8	8	10	14	19	18	14	12	14	17	19	17	14
307	8	10	7	1	3	5	5	12	9	2	4	7	9	10	8	6	10	10	9	11	13	10	7	4	3	6	9	5
330	3	5	5	3	2	8	6	1	2	5	5	5	5	5	5	7	6	2	7	11	6	1	1	5	7	7	8	8
333	16	13	10	12	7	8	17	13	16	10	4	3	9	8	6	9	4	0	3	3	2	3	6	4	3	2	1	7
338	6	8	10	9	9	13	14	14	16	14	11	11	17	9	10	5	8	9	12	13	16	14	8	4	10	15	10	5
341	10	12	10	8	8	10	14	15	7	12	12	8	11	8	7	5	5	5	6	6	5	8	8	4	5	4	2	6
343	3	8	9	8	7	8	8	9	8	7	6	6	5	5	8	10	10	6	6	6	6	5	6	6	7	11	9	6
361	16	14	9	5	8	7	6	8	13	11	9	9	10	11	4	1	6	5	3	9	11	6	3	5	5	6	7	5
372	14	12	2	3	9	3	7	8	9	6	2	4	6	1	3	3	3	2	2	5	6	3	3	2	1	2	2	0
378	28	11	7	2	0	10	13	12	11	10	11	16	10	10	5	7	9	12	12	3	3	2	1	4	2	1	4	4
384	18	9	10	6	9	9	8	10	6	3	6	9	7	3	6	10	6	4	3	4	5	5	2	2	3	4	4	6
415	6	7	3	5	5	6	4	3	5	5	4	4	4	4	4	6	6	7	8	10	12	14	14	11	8	9	6	7
430	6	3	3	3	3	4	4	3	5	4	5	4	6	5	5	5	6	6	7	6	5	7	8	5	4	6	7	6
431	5	6	2	4	4	1	2	5	3	5	7	6	4	5	3	6	3	6	6	8	8	6	2	1	5	3	6	6
442	6	4	6	3	4	14	1	11	9	11	9	7	7	11	8	9	10	10	5	13	8	6	8	5	9	10	3	7
455	13	1	3	1	1	3	4	4	2	0	2	5	4	3	2	5	3	2	3	3	2	2	2	2	2	7	3	3
475	9	11	5	8	8	2	2	3	4	5	2	4	8	4	7	7	3	1	3	6	5	6	4	2	2	2	1	2
486	9	8	7	7	4	12	4	9	9	9	8	13	6	7	7	5	11	14	12	17	10	9	10	9	5	12	5	4
499	3	2	1	1	2	2	2	2	1	1	2	3	4	4	3	3	2	2	3	4	2	1	0	0	0	2	5	6
506	7	6	4	4	2	4	5	4	5	4	6	6	6	3	2	4	2	6	4	6	2	3	3	5	5	5	5	5
511	9	4	3	2	4	4	3	1	5	4	2	3	3	4	4	2	2	1	2	6	6	3	1	0	1	2	2	5
515	10	7	2	4	5	5	6	5	5	3	3	5	6	5	5	3	6	4	9	5	5	2	1	0	1	3	7	11
538	5	2	4	4	4	6	4	5	4	4	4	3	3	6	5	4	3	2	4	3	2	3	2	3	5	5	7	7
596	12	9	8	1	5	5	7	10	3	7	2	5	5	3	7	2	7	6	7	8	5	7	1	4	0	4	5	2
610	0	1	2	1	4	1	4	5	5	2	2	4	3	5	3	2	1	3	3	3	1	2	0	1	1	2	6	8
650	13	2	10	0	2	8	1	5	2	8	0	7	5	0	6	0	5	3	8	0	5	8	0	8	0	7	2	8
661	8	6	7	5	5	5	4	5	6	6	5	5	4	4	5	5	5	6	7	6	6	5	4	3	4	5	2	2
669	3	4	3	5	5	3	1	2	3	3	2	3	4	5	3	3	3	3	3	3	3	4	4	4	4	4	6	8
